component,instance,base_id,base_window_range
CommandDispatcher,cmdDisp,1,20
TlmChan,chanTlm,21,20
PrmDb,prmDb,41,20
CmdSequencer,cmdSeq,61,23
ActiveLogger,eventLogger,91,20
Health,health,111,20
FileUplink,fileUplink,131,20
BufferManager,fileUplinkBufferManager,151,20
FileDownlink,fileDownlink,171,20
BufferManager,fileDownlinkBufferManager,191,20
PassiveTextLogger,textLogger,211,20
GroundInterface,groundIf,231,20
SphinxTime,sphinxTime,251,20
UartDriver,uartDriver,271,20
RateGroupDriver,rateGroupDriverComp,291,20
ActiveRateGroup,rateGroup1Comp,311,20
ActiveRateGroup,rateGroup2Comp,331,20
ActiveRateGroup,rateGroup3Comp,351,20
ActiveRateGroup,rateGroup4Comp,371,20
PingReceiver,pingRcvr,411,20
FPGADriver,fpgaDriver,531,20
ADC,adc,551,20
FpgaGpioDriver,fpgaGpioDriver,651,20
GPIODriver,gpioDriver,671,20
SPIDriverGeneric,spiDriverGeneric,691,20
FPGASPIDriver,fpgaSpiDriver,711,20
SphinxUartOnboardDriver,hw_uart,731,20
SphinxUartOnboardDriver,fw_uart,751,20
IdleTask,idleTask,931,20
FSWInfo,fswInfo,951,40
FatalHandler,fatalHandler,991,20
DriverTest,driverTest,1051,40
